judul,kategori,tanggal_upload,waktu_upload,link_berita
Saat Putra-putra Terbaik Bangsa Berguguran di Papua...,REGIONAL,29/01/2022, 05:30 WIB,https://regional.kompas.com/read/2022/01/29/053000878/saat-putra-putra-terbaik-bangsa-berguguran-di-papua
"Prakiraan Cuaca di Bogor Hari Ini, 29 Januari 2022",REGIONAL,29/01/2022, 05:25 WIB,https://bandung.kompas.com/read/2022/01/29/052500478/prakiraan-cuaca-di-bogor-hari-ini-29-januari-2022
"Prakiraan Cuaca di Bandung Hari Ini, 29 Januari 2022",REGIONAL,29/01/2022, 05:18 WIB,https://bandung.kompas.com/read/2022/01/29/051800978/prakiraan-cuaca-di-bandung-hari-ini-29-januari-2022
"Kisah Pilu Tragedi Bentrokan Massa di Sorong, 18 Orang Tewas, Warga Nyalakan Lilin Perdamaian ",REGIONAL,29/01/2022, 05:18 WIB,https://regional.kompas.com/read/2022/01/29/051800078/kisah-pilu-tragedi-bentrokan-massa-di-sorong-18-orang-tewas-warga-nyalakan
POPULER GLOBAL: Bos Perusahaan Jepang Kaget Ibu Kota Indonesia Pindah | China Tak Tertarik F-35,GLOBAL,29/01/2022, 05:17 WIB,https://www.kompas.com/global/read/2022/01/29/051741970/populer-global-bos-perusahaan-jepang-kaget-ibu-kota-indonesia-pindah
"Prakiraan Cuaca di Makassar Hari Ini, 29 Januari 2022: Pagi Berawan, Siang Diguyur Hujan",REGIONAL,29/01/2022, 05:16 WIB,https://makassar.kompas.com/read/2022/01/29/051600878/prakiraan-cuaca-di-makassar-hari-ini-29-januari-2022--pagi-berawan-siang
"Jadwal Liga 1 Hari Ini: Ada Bali United-Persebaya, Kans Persib Dekati Puncak",BOLA,29/01/2022, 05:15 WIB,https://bola.kompas.com/read/2022/01/29/05150078/jadwal-liga-1-hari-ini-ada-bali-united-persebaya-kans-persib-dekati-puncak
"Prakiraan Cuaca di Medan Hari Ini, 29 Januari 2022: Cerah Sepanjang Hari",REGIONAL,29/01/2022, 05:09 WIB,https://medan.kompas.com/read/2022/01/29/050900578/prakiraan-cuaca-di-medan-hari-ini-29-januari-2022--cerah-sepanjang-hari
"Prakiraan Cuaca di Surabaya Hari Ini, 29 Januari 2022",REGIONAL,29/01/2022, 05:06 WIB,https://surabaya.kompas.com/read/2022/01/29/050600778/prakiraan-cuaca-di-surabaya-hari-ini-29-januari-2022
"Prakiraan Cuaca di Denpasar Hari Ini, 29 Januari 2022",REGIONAL,29/01/2022, 05:05 WIB,https://denpasar.kompas.com/read/2022/01/29/050500778/prakiraan-cuaca-di-denpasar-hari-ini-29-januari-2022
"Promosi dan Degradasi Pelatnas PBSI: Jumlah Ganjil Ganda Putri, Peran The Daddies, hingga Tekad Pramel",BOLA,29/01/2022, 05:00 WIB,https://www.kompas.com/badminton/read/2022/01/29/05000088/promosi-dan-degradasi-pelatnas-pbsi--jumlah-ganjil-ganda-putri-peran
"Prakiraan Cuaca di Malang, 29 Januari 2022",REGIONAL,29/01/2022, 05:00 WIB,https://surabaya.kompas.com/read/2022/01/29/050000578/prakiraan-cuaca-di-malang-29-januari-2022
"Dusan Vlahovic Resmi Gabung Juventus, Pakai Nomor Punggung Cristiano Ronaldo",BOLA,29/01/2022, 04:37 WIB,https://bola.kompas.com/read/2022/01/29/04372308/dusan-vlahovic-resmi-gabung-juventus-pakai-nomor-punggung-cristiano-ronaldo
"Arti Penting Kehadiran Ahsan/Hendra di Pelatnas PBSI: Menerjang Degradasi, Sukseskan Regenerasi",BOLA,29/01/2022, 04:30 WIB,https://www.kompas.com/badminton/read/2022/01/29/04300048/arti-penting-kehadiran-ahsan-hendra-di-pelatnas-pbsi--menerjang
"Praveen/Melati Dicoret dari Pelatnas meski Dianggap Nomor Satu, Siap Unjuk Gigi di 2022 bersama PB Djarum",BOLA,29/01/2022, 04:15 WIB,https://www.kompas.com/badminton/read/2022/01/29/04150068/praveen-melati-dicoret-dari-pelatnas-meski-dianggap-nomor-satu-siap
"Didakwa Terima Suap, Berapa Gaji Wawan Ridwan sebagai PNS Pajak?",MONEY,29/01/2022, 04:13 WIB,https://money.kompas.com/read/2022/01/28/085239426/didakwa-terima-suap-berapa-gaji-wawan-ridwan-sebagai-pns-pajak
"Kebakaran 9 Kios di Pasar Rebo, Bermula dari Pedagang Tinggalkan Warung Saat Kompor Menyala",NEWS,29/01/2022, 01:08 WIB,https://megapolitan.kompas.com/read/2022/01/29/01080071/kebakaran-9-kios-di-pasar-rebo-bermula-dari-pedagang-tinggalkan-warung
88 dari 90 Sekolah yang Ditutup akibat Temuan Kasus Covid-19 Sudah Dibuka Kembali,NEWS,29/01/2022, 01:00 WIB,https://megapolitan.kompas.com/read/2022/01/29/01000021/88-dari-90-sekolah-yang-ditutup-akibat-temuan-kasus-covid-19-sudah-dibuka
Polda Metro Jaya Pulangkan 98 Karyawan Pinjol Ilegal di PIK,NEWS,29/01/2022, 00:42 WIB,https://megapolitan.kompas.com/read/2022/01/29/00424641/polda-metro-jaya-pulangkan-98-karyawan-pinjol-ilegal-di-pik
4 Cara Mudah Mengetahui Roti Berpengawet atau Tidak,WIKEN,29/01/2022, 00:09 WIB,https://www.kompas.com/wiken/read/2022/01/29/000900681/4-cara-mudah-mengetahui-roti-berpengawet-atau-tidak
Wagub DKI Anggap Wajar Studi Banding Panitia Formula E ke Arab Saudi,NEWS,29/01/2022, 00:08 WIB,https://megapolitan.kompas.com/read/2022/01/29/00081191/wagub-dki-anggap-wajar-studi-banding-panitia-formula-e-ke-arab-saudi
Trotoar di Kebayoran Baru Diduga Diubah Tanpa Izin,NEWS,28/01/2022, 23:56 WIB,https://megapolitan.kompas.com/read/2022/01/28/23562101/trotoar-di-kebayoran-baru-diduga-diubah-tanpa-izin
Ikan Bandeng di Pasar Malam Rawa Belong Dipanen Khusus untuk Perayaan Imlek,NEWS,28/01/2022, 23:49 WIB,https://megapolitan.kompas.com/read/2022/01/28/23490291/ikan-bandeng-di-pasar-malam-rawa-belong-dipanen-khusus-untuk-perayaan
Master Supandi Menerima Pin Emas dan Dinobatkan Jadi Bapak Taiji Indonesia ,BOLA,28/01/2022, 23:26 WIB,https://www.kompas.com/sports/read/2022/01/28/23264968/master-supandi-menerima-pin-emas-dan-dinobatkan-jadi-bapak-taiji-indonesia
"Tradisi Keluarga Betawi Saat Imlek, Berikan Ikan Bandeng ke Orangtua dan Mertua",NEWS,28/01/2022, 23:19 WIB,https://megapolitan.kompas.com/read/2022/01/28/23192811/tradisi-keluarga-betawi-saat-imlek-berikan-ikan-bandeng-ke-orangtua-dan
Anggota Komisi II: Fit and Proper Test Calon Anggota KPU-Bawaslu 7-9 Februari 2022,NEWS,28/01/2022, 23:05 WIB,https://nasional.kompas.com/read/2022/01/28/23051991/anggota-komisi-ii-fit-and-proper-test-calon-anggota-kpu-bawaslu-7-9-februari
Tips Mendapatkan Pencahayaan Terbaik untuk Setiap Ruangan di Rumah,HOMEY,28/01/2022, 23:05 WIB,https://www.kompas.com/homey/read/2022/01/28/230500976/tips-mendapatkan-pencahayaan-terbaik-untuk-setiap-ruangan-di-rumah
Cara Beli Emas Antam secara Online dan Offline,MONEY,28/01/2022, 23:01 WIB,https://money.kompas.com/read/2022/01/28/230100826/cara-beli-emas-antam-secara-online-dan-offline
"Persib Vs Persikabo, Maung Intip Peluang Dekati Puncak Klasemen",BOLA,28/01/2022, 23:00 WIB,https://bola.kompas.com/read/2022/01/28/23000048/persib-vs-persikabo-maung-intip-peluang-dekati-puncak-klasemen
"Pulau Sempu: Lokasi, Larangan Wisata, dan Keunikan Segara Anakan ",REGIONAL,28/01/2022, 22:56 WIB,https://surabaya.kompas.com/read/2022/01/28/225650078/pulau-sempu-lokasi-larangan-wisata-dan-keunikan-segara-anakan
"Bermula 2 Siswa, Kasus Positif Covid-19 di SMPN 5 Ngawi Bertambah 30 Orang",REGIONAL,28/01/2022, 22:54 WIB,https://surabaya.kompas.com/read/2022/01/28/225426578/bermula-2-siswa-kasus-positif-covid-19-di-smpn-5-ngawi-bertambah-30-orang
"Hasil dan Klasemen Liga 1, Arema FC Resmi ""Usir"" Bhayangkara FC dari Puncak Klasemen",BOLA,28/01/2022, 22:51 WIB,https://bola.kompas.com/read/2022/01/28/22513468/hasil-dan-klasemen-liga-1-arema-fc-resmi-usir-bhayangkara-fc-dari-puncak
UPDATE 28 Januari: Kasus Covid-19 di Kota Tangerang Bertambah 653,NEWS,28/01/2022, 22:48 WIB,https://megapolitan.kompas.com/read/2022/01/28/22482481/update-28-januari-kasus-covid-19-di-kota-tangerang-bertambah-653
Polisi Selidiki Dugaan Penyebaran Berita Bohong Terkait Kasus Dua Penjambret Tewas Ditabrak,NEWS,28/01/2022, 22:42 WIB,https://megapolitan.kompas.com/read/2022/01/28/22423551/polisi-selidiki-dugaan-penyebaran-berita-bohong-terkait-kasus-dua
"Hasil Arema FC Vs Persipura: Menang 1-0 dan Perpanjang Rekor, Singo Edan Rebut Puncak Klasemen",BOLA,28/01/2022, 22:42 WIB,https://bola.kompas.com/read/2022/01/28/22421008/hasil-arema-fc-vs-persipura-menang-1-0-dan-perpanjang-rekor-singo-edan-rebut
Airlangga Kembali Terpilih Jadi Ketum Pengurus Besar Persatuan Wushu Indonesia,BOLA,28/01/2022, 22:40 WIB,https://www.kompas.com/sports/read/2022/01/28/22400008/airlangga-kembali-terpilih-jadi-ketum-pengurus-besar-persatuan-wushu
3 Rekomendasi Drama Korea Bertemakan Industri Kreatif,HYPE,28/01/2022, 22:39 WIB,https://www.kompas.com/hype/read/2022/01/28/223913866/3-rekomendasi-drama-korea-bertemakan-industri-kreatif
Cara Mengisi Shopeepay lewat BSI Mobile dengan Mudah dan Praktis,MONEY,28/01/2022, 22:30 WIB,https://money.kompas.com/read/2022/01/28/223000126/cara-mengisi-shopeepay-lewat-bsi-mobile-dengan-mudah-dan-praktis
Modena Bermitra dengan PT PLN untuk Program Electrifying Lifestyle ,HOMEY,28/01/2022, 22:30 WIB,https://www.kompas.com/homey/read/2022/01/28/223000076/modena-bermitra-dengan-pt-pln-untuk-program-electrifying-lifestyle-
"Dugaan Pemerkosaan Wanita Boyolali, Polda Jateng Masih Periksa Bukti",REGIONAL,28/01/2022, 22:29 WIB,https://regional.kompas.com/read/2022/01/28/222949378/dugaan-pemerkosaan-wanita-boyolali-polda-jateng-masih-periksa-bukti
"Falcon Pictures Remake The Invisible Guest, Dibintangi Reza Rahadian hingga Mawar de Jongh",HYPE,28/01/2022, 22:24 WIB,https://www.kompas.com/hype/read/2022/01/28/222442966/falcon-pictures-remake-the-invisible-guest-dibintangi-reza-rahadian-hingga
"Pekan Depan, Kejagung Periksa Purnawirawan TNI Terkait Kasus Satelit Kemenhan",NEWS,28/01/2022, 22:23 WIB,https://nasional.kompas.com/read/2022/01/28/22232111/pekan-depan-kejagung-periksa-purnawirawan-tni-terkait-kasus-satelit-kemenhan
"Kasus Ayah Curi Getah Karet demi Sekolah Anak Dihentikan, Kejari Tulang Bawang: Restorative Justice",REGIONAL,28/01/2022, 22:18 WIB,https://regional.kompas.com/read/2022/01/28/221838078/kasus-ayah-curi-getah-karet-demi-sekolah-anak-dihentikan-kejari-tulang
Update Persiapan MotoGP Indonesia: ITDC Pastikan Tak Ada Genangan di Sirkuit Mandalika ,BOLA,28/01/2022, 22:13 WIB,https://www.kompas.com/motogp/read/2022/01/28/22135788/update-persiapan-motogp-indonesia-itdc-pastikan-tak-ada-genangan-di
Gubernur Khofifah Minta Kepala Daerah di Jatim Waspadai Ancaman DBD,REGIONAL,28/01/2022, 22:13 WIB,https://surabaya.kompas.com/read/2022/01/28/221353878/gubernur-khofifah-minta-kepala-daerah-di-jatim-waspadai-ancaman-dbd
"DPR, KPU, dan Bawaslu Disebut Akan Bahas Aturan Kampanye Pemilu di Ruang Digital",NEWS,28/01/2022, 22:12 WIB,https://nasional.kompas.com/read/2022/01/28/22121801/dpr-kpu-dan-bawaslu-disebut-akan-bahas-aturan-kampanye-pemilu-di-ruang
Austria Akan Cabut Lockdown bagi Warga yang Belum Divaksin Covid-19,GLOBAL,28/01/2022, 22:08 WIB,https://www.kompas.com/global/read/2022/01/28/220800670/austria-akan-cabut-lockdown-bagi-warga-yang-belum-divaksin-covid-19
"Penadah Mobil Rampasan Debt Collector yang Seret Polisi 1 Kilometer Ditangkap, Sudah Jadi Tersangka",REGIONAL,28/01/2022, 22:07 WIB,https://regional.kompas.com/read/2022/01/28/220757778/penadah-mobil-rampasan-debt-collector-yang-seret-polisi-1-kilometer
"Hasil Barito Putera Vs PSM Makassar: Menang 2-1, Laskar Juku Eja Naik ke 10 Besar",BOLA,28/01/2022, 22:04 WIB,https://bola.kompas.com/read/2022/01/28/22040038/hasil-barito-putera-vs-psm-makassar-menang-2-1-laskar-juku-eja-naik-ke-10-besar
Homestay di Labuan Bajo Fokus Tingkatkan Kualitas Jelang G20,TRAVEL,28/01/2022, 22:04 WIB,https://travel.kompas.com/read/2022/01/28/220400927/homestay-di-labuan-bajo-fokus-tingkatkan-kualitas-jelang-g20
Polisi Cari Pria yang Pura-pura Tertabrak dan Adang Mobil di Pasar Rebo,NEWS,28/01/2022, 22:03 WIB,https://megapolitan.kompas.com/read/2022/01/28/22035331/polisi-cari-pria-yang-pura-pura-tertabrak-dan-adang-mobil-di-pasar-rebo
"Resep Udang Goreng Bawang Putih, Lauk Simple Hanya 5 Bahan",FOOD,28/01/2022, 22:03 WIB,https://www.kompas.com/food/read/2022/01/28/220300775/resep-udang-goreng-bawang-putih-lauk-simple-hanya-5-bahan
"Mahfud Sebut TNI di Papua Kini Bersifat Defensif, Bukan Ofensif ",NEWS,28/01/2022, 22:00 WIB,https://nasional.kompas.com/read/2022/01/28/22000651/mahfud-sebut-tni-di-papua-kini-bersifat-defensif-bukan-ofensif
Pembangunan Hunian Warga Terdampak Bencana di NTT dan NTB Ditargetkan Rampung Maret 2022,MONEY,28/01/2022, 22:00 WIB,https://money.kompas.com/read/2022/01/28/220000626/pembangunan-hunian-warga-terdampak-bencana-di-ntt-dan-ntb-ditargetkan-rampung
11 Cara Mudah Mengatasi Leher Gatal,HEALTH,28/01/2022, 22:00 WIB,https://health.kompas.com/read/2022/01/28/220000068/11-cara-mudah-mengatasi-leher-gatal
"Rilis ""Merasa Indah"", Tiara Andini Mesra dengan Jefri Nichol",HYPE,28/01/2022, 21:58 WIB,https://www.kompas.com/hype/read/2022/01/28/215852766/rilis-merasa-indah-tiara-andini-mesra-dengan-jefri-nichol
9 Benda Paling Kotor di Dapur dan Sering Lupakan Dibersihkan,HOMEY,28/01/2022, 21:54 WIB,https://www.kompas.com/homey/read/2022/01/28/215400076/9-benda-paling-kotor-di-dapur-dan-sering-lupakan-dibersihkan
"Anggota DPRD DKI Sebut Studi Banding Formula E Tak Perlu ke Arab Saudi, Cukup ke Mandalika",NEWS,28/01/2022, 21:53 WIB,https://megapolitan.kompas.com/read/2022/01/28/21533081/anggota-dprd-dki-sebut-studi-banding-formula-e-tak-perlu-ke-arab-saudi
"Tunjang Ekspor Semen dan Clinker, Proyek Pelabuhan Khusus Rp 1,4 Triliun Dimulai",PROPERTI,28/01/2022, 21:52 WIB,https://www.kompas.com/properti/read/2022/01/28/215226021/tunjang-ekspor-semen-dan-clinker-proyek-pelabuhan-khusus-rp-14-triliun
"Polisi Selidiki Video Pria Pura-pura Tertabrak Mobil, Diduga Hendak Memeras",NEWS,28/01/2022, 21:47 WIB,https://megapolitan.kompas.com/read/2022/01/28/21471421/polisi-selidiki-video-pria-pura-pura-tertabrak-mobil-diduga-hendak
Pelatih Bhayangkara Singgung Evan Dimas Usai Timnya Kalah Tipis dari Persik,BOLA,28/01/2022, 21:40 WIB,https://bola.kompas.com/read/2022/01/28/21400078/pelatih-bhayangkara-singgung-evan-dimas-usai-timnya-kalah-tipis-dari-persik
"UPDATE Covid-19 di Kalteng, Kaltim, Kaltara, Gorontalo, Sulbar, Sulsel, dan Sultra 28 Januari 2022",REGIONAL,28/01/2022, 21:37 WIB,https://regional.kompas.com/read/2022/01/28/213719578/update-covid-19-di-kalteng-kaltim-kaltara-gorontalo-sulbar-sulsel-dan
"HT Arema FC Vs Persipura, Tendangan Bebas Carlos Fortes Bawa Singo Edan Unggul 1-0",BOLA,28/01/2022, 21:35 WIB,https://bola.kompas.com/read/2022/01/28/21350688/ht-arema-fc-vs-persipura-tendangan-bebas-carlos-fortes-bawa-singo-edan-unggul-1
"Tembak Pipi Penjaga Portal dengan Air Gun Saat Mabuk, Pemilik Kafe di Medan Ditangkap",REGIONAL,28/01/2022, 21:35 WIB,https://medan.kompas.com/read/2022/01/28/213502978/tembak-pipi-penjaga-portal-dengan-air-gun-saat-mabuk-pemilik-kafe-di-medan
"Diduga Jalankan Praktik Prostitusi, Puluhan Warung Remang-remang di Mojokerto Ditutup Paksa",REGIONAL,28/01/2022, 21:33 WIB,https://regional.kompas.com/read/2022/01/28/213318578/diduga-jalankan-praktik-prostitusi-puluhan-warung-remang-remang-di
"Bangun Kilang di Tuban, Pertamina Pastikan Rekrut Tenaga Kerja Lokal",MONEY,28/01/2022, 21:32 WIB,https://money.kompas.com/read/2022/01/28/213200126/bangun-kilang-di-tuban-pertamina-pastikan-rekrut-tenaga-kerja-lokal
RS di Amerika Tolak Operasi Transplantasi Jantung Pasien Anti-vaksin,GLOBAL,28/01/2022, 21:31 WIB,https://www.kompas.com/global/read/2022/01/28/213100970/rs-di-amerika-tolak-operasi-transplantasi-jantung-pasien-anti-vaksin
"Lowongan Kerja Bank BTN bagi Lulusan S1/S2, Tertarik?",EDUKASI,28/01/2022, 21:27 WIB,https://www.kompas.com/edu/read/2022/01/28/212734071/lowongan-kerja-bank-btn-bagi-lulusan-s1-s2-tertarik
Mahfud Tegaskan Tak Ada Unsur SARA pada Bentrokan di Pulau Haruku,NEWS,28/01/2022, 21:25 WIB,https://nasional.kompas.com/read/2022/01/28/21251541/mahfud-tegaskan-tak-ada-unsur-sara-pada-bentrokan-di-pulau-haruku
"Geopark Ciletuh Sukabumi: Lokasi, Rute, dan Jam Buka  ",REGIONAL,28/01/2022, 21:25 WIB,https://bandung.kompas.com/read/2022/01/28/212502078/geopark-ciletuh-sukabumi-lokasi-rute-dan-jam-buka
Indra Bekti Jadikan Bigo Live Lumbung Penghasilan Selama Pandemi,HYPE,28/01/2022, 21:23 WIB,https://www.kompas.com/hype/read/2022/01/28/212301366/indra-bekti-jadikan-bigo-live-lumbung-penghasilan-selama-pandemi
"Kasus Covid-19 Melonjak, Dalam Sehari 283 Warga Asal Kabupaten Bogor Terpapar",REGIONAL,28/01/2022, 21:22 WIB,https://regional.kompas.com/read/2022/01/28/212243578/kasus-covid-19-melonjak-dalam-sehari-283-warga-asal-kabupaten-bogor
"UPDATE Covid-19 di Jabar, Jateng, Banten, Sumsel, Babel, dan Lampung 28 Januari 2022",REGIONAL,28/01/2022, 21:21 WIB,https://regional.kompas.com/read/2022/01/28/212159278/update-covid-19-di-jabar-jateng-banten-sumsel-babel-dan-lampung-28-januari
Perbedaan Kebutuhan Kebugaran Jasmani ,BOLA,28/01/2022, 21:20 WIB,https://www.kompas.com/sports/read/2022/01/28/21200028/perbedaan-kebutuhan-kebugaran-jasmani-
5 Cara Mudah Menghias Sudut Kosong di Dalam Rumah,HOMEY,28/01/2022, 21:17 WIB,https://www.kompas.com/homey/read/2022/01/28/211700376/5-cara-mudah-menghias-sudut-kosong-di-dalam-rumah
18 Pegawai KPK yang Terpapar Covid-19 Jalani Isolasi Mandiri,NEWS,28/01/2022, 21:16 WIB,https://nasional.kompas.com/read/2022/01/28/21160921/18-pegawai-kpk-yang-terpapar-covid-19-jalani-isolasi-mandiri
"Soal Korupsi di Bawah Rp 50 Juta Cukup Kembalikan Kerugian Negara, Kejagung: Bukan Impunitas dan Masih Wacana",NEWS,28/01/2022, 21:14 WIB,https://nasional.kompas.com/read/2022/01/28/21143921/soal-korupsi-di-bawah-rp-50-juta-cukup-kembalikan-kerugian-negara-kejagung
"Minyak Goreng Dijual Mulai Rp 11.500 Per 1 Februari, Apakah Ada Subsidi?",TREN,28/01/2022, 21:13 WIB,https://www.kompas.com/tren/read/2022/01/28/211355765/minyak-goreng-dijual-mulai-rp-11500-per-1-februari-apakah-ada-subsidi
Blue Pass untuk Turis Travel Bubble Bisa Lacak Kontak Erat Covid-19,TRAVEL,28/01/2022, 21:13 WIB,https://travel.kompas.com/read/2022/01/28/211316827/blue-pass-untuk-turis-travel-bubble-bisa-lacak-kontak-erat-covid-19
3 Tersangka Kasus Mafia Tanah Pembangunan Jalan Wisata Kendari-Toronipa Ditahan,REGIONAL,28/01/2022, 21:13 WIB,https://regional.kompas.com/read/2022/01/28/211304178/3-tersangka-kasus-mafia-tanah-pembangunan-jalan-wisata-kendari-toronipa
"3 Cara Hangatkan Seafood, Rasanya Tidak Berubah ",FOOD,28/01/2022, 21:12 WIB,https://www.kompas.com/food/read/2022/01/28/211200075/3-cara-hangatkan-seafood-rasanya-tidak-berubah-
"Indonesia Jadi Tuan Rumah Forum PBB di Tengah Pandemi, Pemerintah Siapkan Skenario Acara",REGIONAL,28/01/2022, 21:11 WIB,https://denpasar.kompas.com/read/2022/01/28/211120578/indonesia-jadi-tuan-rumah-forum-pbb-di-tengah-pandemi-pemerintah-siapkan
Astra Inisiasi Program Olah Sampah Plastik Jadi BBM untuk Tingkatkan Ekonomi Masyarakat,UMKM,28/01/2022, 21:10 WIB,https://umkm.kompas.com/read/2022/01/28/211049483/astra-inisiasi-program-olah-sampah-plastik-jadi-bbm-untuk-tingkatkan-ekonomi
Hindari 6 Kesalahan Umum Ini Saat Merawat Kulit,LIFESTYLE,28/01/2022, 21:10 WIB,https://lifestyle.kompas.com/read/2022/01/28/211027420/hindari-6-kesalahan-umum-ini-saat-merawat-kulit
"18 Pegawai Terpapar Covid-19, KPK Atur Proporsi Kerja",NEWS,28/01/2022, 21:07 WIB,https://nasional.kompas.com/read/2022/01/28/21075181/18-pegawai-terpapar-covid-19-kpk-atur-proporsi-kerja
"Kritik Wacana Jaksa Agung soal Korupsi di Bawah Rp 50 Juta, ICW: Menambah Semangat Para Pelaku",NEWS,28/01/2022, 21:07 WIB,https://nasional.kompas.com/read/2022/01/28/21074811/kritik-wacana-jaksa-agung-soal-korupsi-di-bawah-rp-50-juta-icw-menambah
"Rusia Klaim Tidak Mau Perang Lawan Ukraina, tapi...",GLOBAL,28/01/2022, 21:07 WIB,https://www.kompas.com/global/read/2022/01/28/210700670/rusia-klaim-tidak-mau-perang-lawan-ukraina-tapi-
Pasar Malam Ikan Bandeng di Rawa Belong Diserbu Warga Jelang Imlek,NEWS,28/01/2022, 21:05 WIB,https://megapolitan.kompas.com/read/2022/01/28/21050241/pasar-malam-ikan-bandeng-di-rawa-belong-diserbu-warga-jelang-imlek
"Ledakan di Rumah Grobogan, Polisi Sebut Penyebabnya Bahan Petasan untuk Mengusir Kelelawar",REGIONAL,28/01/2022, 21:04 WIB,https://regional.kompas.com/read/2022/01/28/210410678/ledakan-di-rumah-grobogan-polisi-sebut-penyebabnya-bahan-petasan-untuk
Perjalanan Rahasia Soeharto: Menginap di Rumah Warga hingga Bekal Beras dan Tempe,NEWS,28/01/2022, 21:03 WIB,https://nasional.kompas.com/read/2022/01/28/21034981/perjalanan-rahasia-soeharto-menginap-di-rumah-warga-hingga-bekal-beras-dan
Mau Nabung di ATM Setor Tunai Mandiri Terdekat? Simak Caranya,MONEY,28/01/2022, 21:02 WIB,https://money.kompas.com/read/2022/01/28/210200026/mau-nabung-di-atm-setor-tunai-mandiri-terdekat-simak-caranya
Arena Gladiator Romawi Terakhir yang Pernah Dibangun Ditemukan di Swiss,SAINS,28/01/2022, 21:01 WIB,https://www.kompas.com/sains/read/2022/01/28/210100323/arena-gladiator-romawi-terakhir-yang-pernah-dibangun-ditemukan-di-swiss
"Kenali Apa itu Vaginismus, Gangguan Susah Penetrasi Vagina",HEALTH,28/01/2022, 21:01 WIB,https://health.kompas.com/read/2022/01/28/210100968/kenali-apa-itu-vaginismus-gangguan-susah-penetrasi-vagina
Polisi Periksa Kejiwaan Pelajar SMP di Kupang yang Terjatuh ke Jembatan Liliba,REGIONAL,28/01/2022, 20:58 WIB,https://regional.kompas.com/read/2022/01/28/205851778/polisi-periksa-kejiwaan-pelajar-smp-di-kupang-yang-terjatuh-ke-jembatan
"Layangan Putus Siap Tayang di RCTI, Adegan Dewasa Akan Disensor",HYPE,28/01/2022, 20:55 WIB,https://www.kompas.com/hype/read/2022/01/28/205523866/layangan-putus-siap-tayang-di-rcti-adegan-dewasa-akan-disensor
HT Barito Putera Vs PSM Makassar: Laskar Juku Eja Unggul 2-1,BOLA,28/01/2022, 20:54 WIB,https://bola.kompas.com/read/2022/01/28/20541498/ht-barito-putera-vs-psm-makassar-laskar-juku-eja-unggul-2-1
"Demo Ormas di Mapolda Jabar Ricuh, Begini Respons Ridwan Kamil",REGIONAL,28/01/2022, 20:45 WIB,https://bandung.kompas.com/read/2022/01/28/204534578/demo-ormas-di-mapolda-jabar-ricuh-begini-respons-ridwan-kamil
"Seorang Pelajar SMAN 8 Kota Malang Terpapar Covid-19, PTM Satu Kelas Dihentikan",REGIONAL,28/01/2022, 20:45 WIB,https://surabaya.kompas.com/read/2022/01/28/204504778/seorang-pelajar-sman-8-kota-malang-terpapar-covid-19-ptm-satu-kelas
Direktur Gizi Kemenkes: Penanganan Stunting Harus Disesuaikan Versi Kearifan Lokal,SAINS,28/01/2022, 20:45 WIB,https://www.kompas.com/sains/read/2022/01/28/204500323/direktur-gizi-kemenkes--penanganan-stunting-harus-disesuaikan-versi
"Persib Vs Persikabo, Dimas Drajad Siap Dobrak Pertahanan Grendel Maung Bandung",BOLA,28/01/2022, 20:40 WIB,https://bola.kompas.com/read/2022/01/28/20400098/persib-vs-persikabo-dimas-drajad-siap-dobrak-pertahanan-grendel-maung-bandung
6 Elemen Dekorasi yang Berbahaya Untuk Hewan Peliharaan,HOMEY,28/01/2022, 20:40 WIB,https://www.kompas.com/homey/read/2022/01/28/204000676/6-elemen-dekorasi-yang-berbahaya-untuk-hewan-peliharaan
Artotel Thamrin-Jakarta Tawarkan Sensasi Staycation Bertema Singapura,TRAVEL,28/01/2022, 20:38 WIB,https://travel.kompas.com/read/2022/01/28/203808327/artotel-thamrin-jakarta-tawarkan-sensasi-staycation-bertema-singapura
"Sisa Anggaran di Bangka Belitung Capai Rp 798,38 Miliar",MONEY,28/01/2022, 20:35 WIB,https://money.kompas.com/read/2022/01/28/203500526/sisa-anggaran-di-bangka-belitung-capai-rp-798-38-miliar
KPK Umumkan 18 Pegawai Positif Covid-19,NEWS,28/01/2022, 20:34 WIB,https://nasional.kompas.com/read/2022/01/28/20341731/kpk-umumkan-18-pegawai-positif-covid-19
"Kasus Covid-19 Melonjak, Epidemiolog: Jakarta Harusnya Terapkan PPKM Lebih Ketat",NEWS,28/01/2022, 20:34 WIB,https://megapolitan.kompas.com/read/2022/01/28/20340831/kasus-covid-19-melonjak-epidemiolog-jakarta-harusnya-terapkan-ppkm-lebih
"Mengenal Weighted Vest, ""Rompi Militer"" yang Dipakai AHY Berolahraga",NEWS,28/01/2022, 20:33 WIB,https://nasional.kompas.com/read/2022/01/28/20333091/mengenal-weighted-vest-rompi-militer-yang-dipakai-ahy-berolahraga
"Kasus Investasi Bodong di Lamongan, Polisi Tetapkan 2 Tersangka Baru",REGIONAL,28/01/2022, 20:33 WIB,https://surabaya.kompas.com/read/2022/01/28/203310078/kasus-investasi-bodong-di-lamongan-polisi-tetapkan-2-tersangka-baru
